Aortic endothelial cell	TS-0047
Aortic endothelium	TS-0047
Aortic smooth muscle	TS-0048
Aortic vascular smooth muscle	TS-0048
Apical bud	TS-0049
Apical shoot	TS-0927
Apices	TS-0050
Appendix	TS-1267
Appendix glandular cell	TS-1271
Appendix glandular cells	TS-1271
Appendix lymphoid	TS-1268
Appendix lymphoid tissue	TS-1268
Appendix lymphoreticular system	TS-1268
Arachnoid	TS-0052
Arachnoid mater	TS-0052
Arachnoid membrane	TS-0052
Arbuscular mycorrhiza	TS-0053
Arterial	TS-0054
Arterial smooth muscle	TS-1198
Artery	TS-0054
Artery smooth muscle	TS-1198
Articular cartilage	TS-0055
Articular chondrocyte	TS-0056
Ascending colon	TS-0057
Ascites	TS-0058
Ascites tumor	TS-0059
Ascitic tumor	TS-0059
Ascitic tumour	TS-0059
ASG	TS-1162
Astrocyte	TS-0060
Astrocytoma	TS-0061
Astroglia	TS-0060
Asynchronous muscle	TS-0062
Atria	TS-0437
Atrial	TS-0437
Atrial gland	TS-0063
Atrial tumor	TS-0064
Atrial tumour	TS-0064
Atrium	TS-0437
Auditory ganglia	TS-0065
Auditory ganglion	TS-0065
AVCN	TS-1187
Axillary bud	TS-0066
B cell	TS-0068
B lymphocyte	TS-0068
B-cell	TS-0068
B-cell lymphoma	TS-0067
B-lymphocyte	TS-0068
B1 motor neuron	TS-1189
B2 motor neuron	TS-1190
Bag cell	TS-0069
Barbel	TS-0070
Bark	TS-0071
Basal ganglia	TS-1149
Basal ganglion	TS-1149
Basal nuclei	TS-1149
Basal nucleus	TS-1149
Basilar papilla	TS-0072
Basophil	TS-0073
Basophilic granulocyte	TS-0073
Bean-shaped accessory gland	TS-0074
Berry	TS-0392
Bile	TS-1172
Bile duct	TS-0075
Bile duct cells	TS-0075
Biliary duct	TS-0075
Bladder	TS-1090
Blast cell	TS-0581
Blastema	TS-0855
Blastemal	TS-0855
Blastocyst	TS-0076
Blastopore lip	TS-0077
Blastula	TS-0078
Blind intestine	TS-0122
Blindgut	TS-0122
Blood	TS-0079
Blood plasma	TS-0800
Blood platelet	TS-0803
Blood serum	TS-0923
Blood vessel	TS-0080
Bloodstream	TS-0771
Blubber	TS-0081
Body wall	TS-0082
Body wall muscle	TS-0083
Body-wall muscle	TS-0083
Bone	TS-0088
Bone marrow	TS-0087
Bone marrow hematopoietic cell	TS-1243
Bone marrow hematopoietic stem cell	TS-1243
Bone marrow macrophage	TS-0084
Bone marrow poietic cells	TS-1243
Bone marrow stroma	TS-0085
Bone marrow tumor	TS-0086
Bone marrow tumour	TS-0086
Bones	TS-0088
Bowel	TS-0490
Bowman gland	TS-0089
Bowman's gland	TS-0089
Bradyzoite	TS-1333
Brain	TS-0095
Brain astrocyte	TS-0060
Brain astrocytoma	TS-0061
Brain capillary	TS-0090
Brain cortex	TS-0091
Brain cortex glial cell	TS-1256
Brain cortex glial cells	TS-1256
Brain cortex neuron	TS-1259
Brain endothelial cell	TS-0092
Brain endothelium	TS-0092
Brain frontal cortex	TS-0389
Brain frontal lobe	TS-0389
Brain hippocampus	TS-0460
Brain occipital cortex	TS-0693
Brain occipital lobe	TS-0693
Brain parietal cortex	TS-0747
Brain parietal lobe	TS-0747
Brain stem	TS-0093
Brain striatum	TS-0183
Brain temporal cortex	TS-1020
Brain temporal lobe	TS-1020
Brain tumor	TS-0094
Brain tumour	TS-0094
Brain ventricle	TS-1295
Brainstem	TS-0093
Branchia	TS-0096
Branchial arch region	TS-0097
Branchial gland	TS-0098
Breast	TS-0595
Breast adenocarcinoma	TS-0592
Breast cancer	TS-0591
Breast carcinoma	TS-0592
Breast glandular cell	TS-1272
Breast glandular cells	TS-1272
Breast malignant tumor	TS-0591
Breast tumor	TS-0597
Breastbone	TS-0972
Bristle	TS-1176
Bronchi	TS-1229
Bronchial epithelial cell	TS-1240
Bronchial epithelium cell	TS-1240
Bronchiolar epithelial cell	TS-0570
Bronchoalveolar system	TS-1296
Bronchus	TS-1229
Bronchus epithelial cell	TS-1240
Bronchus respiratory epithelial cells	TS-1240
Brown adipocyte	TS-0099
Brown adipose tissue	TS-0099
Brown fat cell	TS-0099
Buccal ganglia	TS-0100
Buccal ganglion	TS-0100
Buccal muscle	TS-0101
Bulb	TS-0102
Bulbourethral gland	TS-0103
Bundle sheath cell	TS-0104
Bundle sheath strand	TS-0105
Bursa	TS-0106
Bursa of Fabricius	TS-0106
Caeca	TS-0122
Caecal appendix	TS-1267
Caecal appendix glandular cell	TS-1271
Caecum	TS-0122
Cajal-Retzius cell	TS-1171
Caliculus gustatorius	TS-1015
Calli	TS-0107
Callus	TS-0107
Callus tissue	TS-0107
Calvaria	TS-0108
Cambium	TS-0109
Cancellated bone	TS-0110
Cancellous bone	TS-0110
Cap	TS-0111
Capillary endothelial cell	TS-0112
Capillary endothelium	TS-0112
Carapace cuticle	TS-0113
Carcinoma	TS-0114
Cardiac	TS-0445
Cardiac atrium	TS-0437
Cardiac cell	TS-0115
Cardiac left atrium	TS-0438
Cardiac muscle	TS-0440
Cardiac muscle cell	TS-0115
Cardiac myocyte	TS-0115
Cardiac right atrium	TS-0442
Cardiac tissue	TS-0445
Cardiac ventricular muscle	TS-0444
Cardiomyocyte	TS-0115
Cardiovascular system	TS-1297
Carotid artery	TS-0116
Carpel	TS-0117
Cartilage	TS-0118
Cartilage chondrocyte	TS-0119
Catch muscle	TS-0011
Caudal fin	TS-0120
Caudal ganglion of vagus nerve	TS-0689
Caudate	TS-0121
Caudate nucleus	TS-0121
CC	TS-0178
Ceca	TS-0122
Cecal appendix	TS-1267
Cecal appendix glandular cell	TS-1271
Cecum	TS-0122
Celiac ganglia	TS-0153
Celiac ganglion	TS-0153
Cells in endometrial stroma	TS-1266
Cement gland	TS-0123
Cementoblast	TS-1164
Central ganglia	TS-0124
Central ganglion	TS-0124
Central nervous system	TS-0150
Cerebellar	TS-0125
Cerebellar cortex	TS-0091
Cerebellar cortex glial cell	TS-1256
Cerebellar cortex neural cell	TS-1259
Cerebellar Purkinje cell	TS-0845
Cerebellar Purkinje neuron	TS-0845
Cerebellum	TS-0125
Cerebellum cells in granular layer	TS-1247
Cerebellum cells in molecular layer	TS-1248
Cerebellum cortex	TS-0091
Cerebellum cortex glial cell	TS-1256
Cerebellum cortex neural cell	TS-1259
Cerebellum granular layer	TS-1247
Cerebellum molecular layer	TS-1248
Cerebral	TS-0095
Cerebral artery	TS-0126
Cerebral cortex	TS-0091
Cerebral cortex glial cell	TS-1256
Cerebral cortex glial cells	TS-1256
Cerebral cortex neural cell	TS-1259
Cerebral ganglia	TS-0127
Cerebral ganglion	TS-0127
Cerebral pedal	TS-0128
Cerebral spinal fluid	TS-0130
Cerebral vascular smooth muscle	TS-0129
Cerebromicrovascular endothelial cell	TS-0092
Cerebromicrovascular endothelium	TS-0092
Cerebrospinal fluid	TS-0130
Cerebrum	TS-0095
Cerebrum cortex	TS-0091
Cerebrum cortex glial cell	TS-1256
Cerebrum cortex neural cell	TS-1259
Cervical adenocarcinoma	TS-0135
Cervical cancer	TS-1221
Cervical carcinoma	TS-0136
