Coat protein complexes II lumen	SL-0322
Coated pit	SL-0072
Complexus golgiensis	SL-0132
Connexons	SL-0124
Contracile vacuole complex	SL-0073
Contractile vacuolar lumen	SL-0320
Contractile vacuolar membrane	SL-0074
Contractile vacuole	SL-0073
Contractile vacuole lumen	SL-0320
Contractile vacuole membrane	SL-0074
Cornified envelope	SL-0079
Cortical granule	SL-0541
Cortical vesicle	SL-0541
Cvt vesicle	SL-0080
Cvt vesicle lumen	SL-0323
Cvt vesicle membrane	SL-0081
Cyanelle	SL-0082
Cyanelle envelope	SL-0479
Cyanelle inner membrane	SL-0480
Cyanelle intermembrane space	SL-0481
Cyanelle membrane	SL-0083
Cyanelle outer membrane	SL-0482
Cyanelle periplasm	SL-0481
Cyanelle stroma	SL-0350
Cyanelle thylakoid	SL-0277
Cyanelle thylakoid lumen	SL-0084
Cyanelle thylakoid membrane	SL-0085
Cyanoplast	SL-0082
Cytolytic granule	SL-0543
Cytolytic granule lumen	SL-0546
Cytolytic granule membrane	SL-0547
Cytoplasm	SL-0086
Cytoplasmic granule	SL-0281
Cytoplasmic granule lumen	SL-0324
Cytoplasmic granule membrane	SL-0282
Cytoplasmic membrane	SL-0039
Cytoplasmic membrane	SL-0037
Cytoplasmic ribonucleoprotein granule	SL-0495
Cytoplasmic vesicle	SL-0088
Cytoplasmic vesicle lumen	SL-0325
Cytoplasmic vesicle membrane	SL-0089
Cytoskeletal calyx	SL-0032
Cytoskeleton	SL-0090
Cytosol	SL-0091
DS	SL-0092
Degrading autophagic vacuole	SL-0535
Degrading autophagic vacuole lumen	SL-0537
Dendrite	SL-0283
Dendritic spine	SL-0284
Dendritic spine membrane	SL-0285
Desmosome	SL-0092
Dictyosome	SL-0135
Dictyosome lumen	SL-0334
DynAP	SL-0542
Dynein axonemal particle	SL-0542
ER to Golgi transport vesicle	SL-0077
ER to Golgi transport vesicle lumen	SL-0322
ER to Golgi transport vesicle membrane	SL-0078
ERC	SL-0232
Early endosomal lumen	SL-0337
Early endosomal membrane	SL-0093
Early endosome	SL-0094
Early endosome lumen	SL-0337
Early endosome membrane	SL-0093
Egg coat	SL-0540
Encapsulin nanocompartment	SL-0550
Endoflagellum	SL-0201
Endomembrane	SL-0147
Endomembrane system	SL-0147
Endoplasmic reticulum	SL-0095
Endoplasmic reticulum lumen	SL-0096
Endoplasmic reticulum membrane	SL-0097
Endoplasmic reticulum-Golgi intermediate compartment	SL-0098
Endoplasmic reticulum-Golgi intermediate compartment lumen	SL-0326
Endoplasmic reticulum-Golgi intermediate compartment membrane	SL-0099
Endosomal lumen	SL-0327
Endosomal membrane	SL-0100
Endosomal recycling compartment	SL-0232
Endosome	SL-0101
Endosome lumen	SL-0327
Endosome membrane	SL-0100
Envelope	SL-0036
Esterosomal lumen	SL-0328
Esterosomal membrane	SL-0108
Esterosome	SL-0109
Esterosome lumen	SL-0328
Esterosome membrane	SL-0108
Etioplast	SL-0110
Etioplast membrane	SL-0329
Etioplast prolamellar body	SL-0226
Etioplast stroma	SL-0330
Exosporium	SL-0367
Extracellular exosome	SL-0466
Extracellular matrix	SL-0111
Extracellular space	SL-0112
Extracellular vesicle	SL-0499
Extracellular vesicle membrane	SL-0500
Extracellular vesicular exosome	SL-0466
Filopodia	SL-0286
Filopodia membrane	SL-0287
Filopodia tip	SL-0470
Filopodium	SL-0286
Filopodium membrane	SL-0287
Filopodium tip	SL-0470
Fimbria	SL-0113
Fimbrium	SL-0113
Flagella	SL-0117
Flagellar axoneme	SL-0114
Flagellar basal body	SL-0308
Flagellar kinetosome	SL-0308
Flagellar membrane	SL-0115
Flagellar pocket	SL-0116
Flagellum	SL-0117
Flagellum axoneme	SL-0114
Flagellum basal body	SL-0308
Flagellum kinetosome	SL-0308
Flagellum membrane	SL-0115
Flemming body	SL-0490
Focal adhesion	SL-0118
Forespore	SL-0119
Forespore inner membrane	SL-0120
Forespore intermembrane space	SL-0121
Forespore membrane	SL-0122
Forespore outer membrane	SL-0123
Gap junction	SL-0124
Gas vesicle	SL-0125
Gas vesicle lumen	SL-0331
Gas vesicle shell	SL-0126
Gem	SL-0127
Glycosomal lumen	SL-0332
Glycosomal matrix	SL-0332
Glycosomal membrane	SL-0128
Glycosome	SL-0129
Glycosome lumen	SL-0332
Glycosome matrix	SL-0332
Glycosome membrane	SL-0128
Glycosylphospholipidinositol anchor	SL-9902
Glycosylsphingolipidinositol anchor	SL-9920
Glyoxysomal lumen	SL-0333
Glyoxysomal matrix	SL-0333
Glyoxysomal membrane	SL-0130
Glyoxysome	SL-0131
Glyoxysome lumen	SL-0333
Glyoxysome matrix	SL-0333
Glyoxysome membrane	SL-0130
Golgi	SL-0132
Golgi apparatus	SL-0132
Golgi apparatus lumen	SL-0133
Golgi apparatus membrane	SL-0134
Golgi bodies	SL-0135
Golgi bodies lumen	SL-0334
Golgi body	SL-0135
Golgi body lumen	SL-0334
Golgi cis-face	SL-0067
Golgi cis-face membrane	SL-0068
Golgi cisterna membrane	SL-0136
Golgi complex	SL-0132
Golgi complex lumen	SL-0133
Golgi complex membrane	SL-0134
Golgi lumen	SL-0133
Golgi membrane	SL-0134
Golgi outpost	SL-0521
Golgi stack	SL-0135
Golgi stack lumen	SL-0334
Golgi stack membrane	SL-0136
Golgi trans-face	SL-0266
Golgi-adjunct organelle	SL-0018
Growing bud	SL-0027
Growth cone	SL-0288
Growth cone membrane	SL-0289
H band	SL-0477
H disc	SL-0477
H disk	SL-0477
H zone	SL-0477
H-band	SL-0477
Hemidesmosome	SL-0137
Host	SL-0431
Host CGN	SL-0396
Host Golgi apparatus	SL-0395
Host Golgi apparatus membrane	SL-0426
Host Golgi cis-face	SL-0396
Host Golgi cis-face membrane	SL-0397
Host Golgi complex	SL-0395
Host Golgi membrane	SL-0426
Host MVB	SL-0453
Host PD	SL-0385
Host RER	SL-0422
Host SER	SL-0444
Host VTC	SL-0391
Host VTC membrane	SL-0392
Host apical cell membrane	SL-0372
Host apical plasma membrane	SL-0372
Host basolateral cell membrane	SL-0459
Host basolateral plasma membrane	SL-0459
Host caveola	SL-0428
Host caveolae	SL-0428
Host cell	SL-0427
Host cell envelope	SL-0421
Host cell inner membrane	SL-0373
Host cell junction	SL-0374
Host cell membrane	SL-0375
Host cell outer membrane	SL-0376
Host cell projection	SL-0377
Host cell protrusion	SL-0377
Host cell surface	SL-0378
Host cell wall	SL-0424
Host cellular thylakoid	SL-0429
Host cellular thylakoid membrane	SL-0430
Host chloroplast envelope	SL-0483
Host chloroplastic envelope	SL-0483
Host cis-Golgi	SL-0396
Host cis-Golgi complex	SL-0396
Host cis-Golgi membrane	SL-0397
Host cis-Golgi network	SL-0396
Host cis-Golgi network membrane	SL-0397
Host cytoplasm	SL-0381
Host cytoplasmic membrane	SL-0375
Host cytoplasmic vesicle	SL-0386
Host cytoplasmic vesicle membrane	SL-0387
Host cytoskeleton	SL-0383
Host cytosol	SL-0384
Host early endosomal membrane	SL-0462
Host early endosome	SL-0461
Host early endosome membrane	SL-0462
Host endomembrane	SL-0398
Host endomembrane system	SL-0398
Host endoplasmic reticulum	SL-0388
Host endoplasmic reticulum lumen	SL-0389
Host endoplasmic reticulum membrane	SL-0390
Host endoplasmic reticulum-Golgi intermediate compartment	SL-0391
Host endoplasmic reticulum-Golgi intermediate compartment membrane	SL-0392
Host endosomal carrier vesicle	SL-0453
Host endosomal membrane	SL-0394
Host endosome	SL-0393
Host endosome membrane	SL-0394
Host envelope	SL-0421
Host extracellular space	SL-0425
Host filopodia	SL-0379
Host filopodium	SL-0379
Host glyoxysome	SL-0474
Host inner membrane	SL-0373
Host inner mitochondrial membrane	SL-0409
Host inner nuclear membrane	SL-0419
Host intercellular space	SL-0425
Host karyolymph	SL-0413
Host karyoplasm	SL-0413
Host late endosomal membrane	SL-0400
Host late endosome	SL-0399
Host late endosome membrane	SL-0400
Host lipid droplet	SL-0401
Host lysosomal membrane	SL-0404
Host lysosome	SL-0403
Host lysosome membrane	SL-0404
Host membrane	SL-0380
Host membrane microdomain	SL-0428
Host microsomal membrane	SL-0406
Host microsome	SL-0405
Host microsome membrane	SL-0406
Host microspike	SL-0379
Host mitochondrial envelope	SL-0408
Host mitochondrial inner membrane	SL-0409
Host mitochondrial membrane	SL-0410
Host mitochondrial outer membrane	SL-0411
Host mitochondrion	SL-0407
Host mitochondrion envelope	SL-0408
Host mitochondrion inner membrane	SL-0409
Host mitochondrion membrane	SL-0410
Host mitochondrion outer membrane	SL-0411
Host multivesicular bodies	SL-0453
Host multivesicular body	SL-0453
Host nuclear inner membrane	SL-0419
Host nuclear lamina	SL-0416
Host nuclear matrix	SL-0417
Host nuclear membrane	SL-0418
Host nuclear outer membrane	SL-0446
Host nuclear periphery	SL-0382
