B.cholerae-suis	28901
B.cinerea	40559
B.difficilis	1496
B.divaricatum	1718
B.enterocoliticum	630
B.fluorescens putidus	303
B.forsythus	28112
B.fuckeliana	40559
B.gaurus	9904
B.gingivalis	837
B.globigii	1423
B.glutamigenes	1718
B.graminis	34373
B.group VS461	29518
B.hermsii	140
B.influenzae	727
B.lactofermentum	1718
B.laevis	8355
B.lambda	10710
B.leukemia virus	11901
B.leukemia virus BLV	11901
B.licheniformis	1402
B.malayi	6279
B.melitensis	29459
B.melitensis biovar Abortus	235
B.microplus	6941
B.monocytogenes	1639
B.monocytogenes hominis	1639
B.natto	1423
B.parahaemolytica	670
B.pestis	632
B.pneumoniae	573
B.pneumoniae crouposae	573
B.primigenius taurus	9913
B.pseudomallei	28450
B.pseudotuberculosis	633
B.pseudotuberkulosis	633
B.putidus	303
B.radiobacter	358
B.rerio	7955
B.rerio frankei	7955
B.saccharolyticum	1718
B.seonmiso	1718
B.serogroup	35304
B.smegmatis	1772
B.sp.	10469
B.subtilis	1423
B.taipei	1718
B.taurus	9913
B.thiogenitalis	1718
B.tuberculosis	1773
B.tumefaciens	358
B.turicatae	142
B.uniflagellatus	1423
B.versicolor	5325
B.virus	35304
B.virus group	35304
B.whitmori	28450
Bacillus acnes	1747
Bacillus anthracis	1392
Bacillus anthracis Cohn 1872	1392
Bacillus anthracis pXO1 virulence plasmid	1392
Bacillus anthracis pXO1 virulence plasmids	1392
Bacillus campestris	339
Bacillus carotovorus	554
Bacillus cereus var. anthracis	1392
Bacillus cholerae-suis	28901
Bacillus difficilis	1496
Bacillus fluorescens putidus	303
Bacillus globigii	1423
Bacillus licheniformis	1402
Bacillus natto	1423
Bacillus pestis	632
Bacillus pneumoniae	573
Bacillus pseudomallei	28450
Bacillus pseudotuberkulosis	633
Bacillus putidus	303
Bacillus radiobacter	358
Bacillus smegmatis	1772
Bacillus sp. 15:2	1423
Bacillus sp. 15:2s	1423
Bacillus sp. RSP-GLU	1423
Bacillus sp. RSP-GLUs	1423
Bacillus sp. S2 BC-1	1423
Bacillus sp. S2 BC-1s	1423
Bacillus sp. W10.6	1402
Bacillus sp. WED10.6	1402
Bacillus sp. WED10.6s	1402
Bacillus subtilis	1423
Bacillus subtilis/Bacillus globigii	1423
Bacillus subtilis/Bacillus globigiis	1423
Bacillus subtilis8	1423
Bacillus tuberculosis	1773
Bacillus uniflagellatus	1423
Bacteriaphage lambda	10710
Bacteridium anthracis	1392
Bacteriophage lambda	10710
Bacterium abortus	235
Bacterium anitratum	470
Bacterium ASAZT-122	354
Bacterium ASAZT-122s	354
Bacterium ASAZT-146	354
Bacterium ASAZT-146s	354
Bacterium ASAZT-68	354
Bacterium ASAZT-68s	354
Bacterium ASFP-1	303
Bacterium ASFP-1s	303
Bacterium campestre	339
Bacterium carotovorum	554
Bacterium enterocoliticum	630
Bacterium influenzae	727
Bacterium MASFP-4	303
Bacterium MASFP-4s	303
Bacterium monocytogenes	1639
Bacterium monocytogenes hominis	1639
Bacterium pestis	632
Bacterium pneumoniae crouposae	573
Bacterium pseudotuberculosis	633
Bacterium radiobacter	358
Bacterium smegmatis	1772
Bacterium tuberculosis	1773
Bacterium tumefaciens	358
Bacterium whitmori	28450
Bacteroides forsythus	28112
Bacteroides gingivalis	837
Baculovirus	10469
Baculovirus sp.	10469
Baikal skullcap	65409
Baikal skullcaps	65409
Baker's yeast	4932
Baker's yeasts	4932
Banana	4641
Bananas	4641
Bantam	9031
Bantams	9031
Barley	112509
Barleys	112509
Beagle dog	9615
Beagle dogs	9615
Beneckea parahaemolytica	670
Ber	157914
Beri	157914
Beris	157914
Bers	157914
Bjerkandera versicolor	5325
Blue crab	6763
Blue crabs	6763
Blumeria graminis	34373
BLV	11901
Boletus versicolor	5325
Boletus versicolor L. 1753	5325
Boophilus microplus	6941
Bornean orangutan	9600
Bornean orangutans	9600
Borrelia afzelii	29518
Borrelia afzeliusii	29518
Borrelia burdorferi	139
Borrelia burgdorferi	139
Borrelia burgdorferi sensu stricto	139
Borrelia burgdorffragment	139
Borrelia hermsii	140
Borrelia turicatae	142
Borrellia group VS461	29518
Bos bovis	9913
Bos gauris	9904
Bos gaurus	9904
Bos primigenius taurus	9913
Bos taurus	9913
Bos Tauurus	9913
Botryotinia fuckeliana	40559
Botrytis cinerea	40559
Bovidae sp. Adi Nefas	9913
Bovine	9913
Bovine leukemia virus	11901
Bovine leukemia virus BLV	11901
Bovines	9913
boy	9606
Brachidanio rerio	7955
Brachydanio rerio	7955
Brachydanio rerio frankei	7955
Brazilian-tea	185542
Brazilian-teas	185542
Bread wheat	4565
Bread wheats	4565
Brevibacterium chang-fua	1718
Brevibacterium divaricatum	1718
Brevibacterium glutamigenes	1718
Brevibacterium lactofermentum	1718
Brevibacterium saccharolyticum	1718
Brevibacterium seonmiso	1718
Brevibacterium sp. ATCC 19165	1718
Brevibacterium sp. ATCC 19165s	1718
Brevibacterium taipei	1718
Brevibacterium thiogenitalis	1718
Brewer's yeast	4932
Brewer's yeasts	4932
Broomcorn	4558
Broomcorns	4558
Brown rat	10116
Brown rats	10116
Brucella abortus	235
Brucella melitensis	29459
Brucella melitensis biovar Abortus	235
Brucella melitensis bv. Abortus	235
Brugia malayi	6279
Buffalo rat	10116
Buffalo rats	10116
Bufo laevis	8355
Bullfrog	8400
Bullfrogs	8400
Buntan	37334
Buntans	37334
Bunyamwera bunyavirus group	35304
Bunyamwera serogroup	35304
Bunyamwera virus	35304
Bunyamwera virus group	35304
Burgholderia cepacia	292
Burkholderia capacia	292
Burkholderia cenocepacia	95486
Burkholderia cepacia	292
Burkholderia cepacia genomovar I	292
Burkholderia cepacia genomovar III	95486
Burkholderia cepacia genomovar IIIb	95486
Burkholderia cepacia genomovar IIIbs	95486
Burkholderia pseudomallai	28450
Burkholderia pseudomallei	28450
Bush grape	103352
Bush grapes	103352
C. acnes	1747
C. aegagrus	9923
C. aegagrus hircus	9925
C. albicans	5476
C. altivelis	302767
C. antarctica	34362
C. aperea porcellus	10141
C. arabica	13443
C. arabica L.	13443
C. aromatica	136209
C. bescii	31899
C. canis	9615
C. cobaya	10141
C. crassa	5141
C. decumana	37334
C. decumanus	37334
C. difficile	1496
C. domesticus	9615
C. elegans	124036
C. elegans	6239
C. familiaris	9615
C. fetus subsp. jejuni	197
C. frugilegus	75140
C. glutamicum	1718
C. grandis	37334
C. griseus	10029
C. higginsianum	80884
C. hircus	9925
C. hortorum	41568
C. infantisepticum	1639
C. jacchus	9483
C. jacchus jacchus	9483
C. jejuni	197
C. lactofermentum	1718
C. lambda	10710
C. licheniforme	1402
C. lilium	1718
C. lupus familiaris	9615
C. maenas	6759
C. maxima	37334
C. morifolium	41568
C. mosaic cucumovirus CMV	12305
C. mosaic virus	12305
C. mosaic virus CMV	12305
C. moschata	8855
C. necrosis tombusvirus CNV	12143
C. necrosis virus	12143
C. necrosis virus CNV	12143
C. occidentalis	126820
C. occidentalis L.	126820
C. papaya	3649
C. papaya L.	3649
C. paradisi	37656
C. parvulum	1639
C. peled	107322
C. pfeifferi	727
C. porcellus	10141
C. pylori	210
C. pylori subsp. pylori	210
C. pyloridis	210
C. pyrenoidosa	3078
C. pyrenoidosa Chick	3078
C. reinhardtii	3055
C. reinhardtii P.A.Dangeard	3055
C. rerio	7955
C. robusta	4932
C. sapidus	6763
C. sativus	3659
C. sativus L.	3659
C. sinensis x Citrus grandis	37656
C. sinensis x Citrus maxima	37656
C. smithii	3055
C. smithii R.W.Howshaw & H.Ettl	3055
C. stellatoidea	5476
C. stellatoidea type I	5476
C. swine fever virus	11096
C. swine fever virus CSFV	11096
C. tepidum	1050
C. tepidum	1097
C. tepidum Madigan 1986	1050
C. versicolor	5325
C. x morifolium	41568
C. x paradisi	37656
C. x paradisi Macfad.	37656
C.acnes	1747
C.aegagrus	9923
C.aegagrus hircus	9925
C.albicans	5476
C.altivelis	302767
C.antarctica	34362
C.aperea porcellus	10141
C.arabica	13443
C.arabica L.	13443
C.aromatica	136209
C.bescii	31899
C.canis	9615
C.cobaya	10141
C.crassa	5141
C.decumana	37334
C.decumanus	37334
C.difficile	1496
C.domesticus	9615
C.elegans	124036
C.elegans	6239
C.familiaris	9615
C.fetus subsp. jejuni	197
C.frugilegus	75140
C.glutamicum	1718
C.grandis	37334
C.griseus	10029
C.higginsianum	80884
C.hircus	9925
C.hortorum	41568
C.infantisepticum	1639
C.jacchus	9483
C.jacchus jacchus	9483
C.jejuni	197
C.lactofermentum	1718
C.lambda	10710
C.licheniforme	1402
C.lilium	1718
C.lupus familiaris	9615
C.maenas	6759
C.maxima	37334
C.morifolium	41568
C.mosaic cucumovirus CMV	12305
C.mosaic virus	12305
C.mosaic virus CMV	12305
C.moschata	8855
C.necrosis tombusvirus CNV	12143
C.necrosis virus	12143
