A. bovis farcinicus	37329
A. bovis Harz 1877	1658
A. brachycephalus	36221
A. bracteata	45679
A. brama	126786
A. brama	38527
A. brasilense	192
A. brasiliana	144767
A. brasiliense	192
A. brasiliensis	307931
A. brasiliensis	37326
A. brassicae	29911
A. brassicicola	29001
A. braziliense	369059
A. brevirostrum	7907
A. brevispiculata	303228
A. bronchicanis	518
A. bronchisepticus	518
A. broughtonii	148819
A. brunnescens	5341
A. burtoni	8153
A. buselaphus	59517
A. butcheri	8179
A. butzleri	28197
A. cacaoi	1898
A. caerulea	90261
A. caerulescens caerulescens	70340
A. caeruleus	195949
A. cahirinus	10068
A. cajennense	34607
A. cajennensis	34607
A. cajetani	81846
A. calamus	4465
A. calamus L.	4465
A. calandrae	76800
A. calcoaceticus	471
A. calcoaceticus ADP1	62977
A. calcoaceticus biovar anitratus	107673
A. calcoaceticus RAG-1	68991
A. calcoaceticus subsp. anitratus	107673
A. calcoaceticus var. anitratus	107673
A. caldus	33059
A. californica	142466
A. californica	572729
A. californica	6500
A. californica MNPV	307456
A. californica multinucleopolyhedrovirus	307456
A. californica multiple nucleopolyhedrovirus	307456
A. californicus	67281
A. californicus	84382
A. californiense	43107
A. caliginosa	302032
A. caliginosus	35671
A. callidryas	197464
A. calva	7924
A. campester	56157
A. campestris	56157
A. camphorata	196114
A. candida	65357
A. candidum	65357
A. candidus	41067
A. caninum	29170
A. canis	29555
A. cantans	120869
A. cantonensis	6313
A. capillaris	204232
A. capillaris	265783
A. capillaris L.	204232
A. capillus-veneris	13818
A. capsulata	5037
A. capsulatum	33075
A. capsulatus	5037
A. carambola	28974
A. caraya	9502
A. carbo	268865
A. carbonarius	40993
A. carmichaeli	85363
A. carmichaelii	85363
A. carolinensis	28377
A. carolinensis	75836
A. caroliniana	39631
A. caroliniana Willd.	39631
A. carrageenovora	227
A. carterae	2961
A. caspius	120870
A. cassava mosaic virus	10817
A. castellani	5755
A. castellanii	5755
A. catechu	138017
A. catechu	184783
A. catechu L.	184783
A. catenella	2925
A. catesbeiana	8400
A. caudatus	3567
A. caudatus L.	3567
A. caulinodans	7
A. caviae	1823
A. caviae	648
A. cearensis	149628
A. cellulolyticus	28049
A. cellulolyticus	35830
A. cellulolyticus	87064
A. cellulosolvens	35830
A. centrale	769
A. cepa	4679
A. cepa L.	4679
A. cerana	7461
A. cerana cerana	94128
A. ceratodes	30276
A. cernua	57865
A. cervicapra	59525
A. cervicornis	6130
A. ceylanicum	53326
A. chamek	118643
A. champeden	3490
A. chartreusis	1969
A. cherimola	49314
A. cherimola Mill.	49314
A. chevalieri	182096
A. chinense	52714
A. chinensis	268493
A. chinensis	3625
A. chinensis	714493
A. chinensis Planch.	3625
A. chinensis var. chinensis	3625
A. chinensis var. deliciosa	3627
A. chlorophenolicus	85085
A. chlorostachys	117272
A. chlorostachys auct.	3565
A. chlorostachys Willd.	117272
A. chlorotic leaf spot trichovirus	12175
A. chlorotic leaf spot virus	12175
A. chlorotic leaf spot virus ACLSV-A	12175
A. chromofuscus	42881
A. chroococcum	353
A. chrysaetos	8962
A. chrysogenum	5044
A. chukar	9078
A. cicer	20410
A. cimicifuga	64032
A. cinerea	30390
A. cinnamomea	196114
A. circinalis	109265
A. citreofluorescens	1892
A. citricidus	223852
A. citrinellum	61819
A. citrinellus	61819
A. citriodora	925377
A. citrodora	925377
A. citrulli	80869
A. clade A1	10261
A. clade B1	44088
A. clamitans	145282
A. clamitans	183328
A. clathrata	7604
A. clavatus	5057
A. claviger	120868
A. cloacae	550
A. clypeata	75838
A. cochlioides	112091
A. coelicolor	1902
A. coenophialum	5047
A. coerulea	90261
A. coeruleorubidus	116188
A. coerulescens	39617
A. coffaeiformis	265554
A. coffeaeformis	265554
A. cognatus	30328
A. colbecki	95546
A. colemani	78482
A. coli	52584
A. columbae	65462
A. colwelliana	23
A. communis	194251
A. communis	329099
A. communis	3755
A. communis L.	3755
A. comosus	4615
A. comosus var. comosus	4615
A. complanatus	47064
A. confusa	3809
A. confusa Merr.	3809
A. congolensis	1863
A. conoides	74498
A. continentalis	287721
A. contortrix	8720
A. contortrix contortrix	8713
A. contortrix laticinctus	37195
A. convolvuli	55055
A. conyzoides	68299
A. cooperi	261198
A. cooperii	261198
A. cordata	29746
A. cordifolia	316697
A. coreanum	662772
A. corniculatum	59970
A. coronaria	167998
A. coronaria L.	167998
A. coronavirus	694014
A. corymbifera	42458
A. costaricensis	334426
A. craccivora	307492
A. crassicauda	122909
A. crassispina	7629
A. crassus	620897
A. crecca	75839
A. crecca carolinensis	75836
A. crenata	13345
A. crepitans	317300
A. cretaceus	1919
A. cristatum	4593
A. cristatus	51208
A. crucians	869064
A. cruentus	117272
A. cruentus L.	117272
A. cryaerophilus	28198
A. cryptum	524
A. cryptum Harrison 1981	524
A. crystallopoietes	37928
A. cuchia	944441
A. cucumeris	193551
A. culbertsoni	43142
A. culbertsonii	43142
A. culicicola	654
A. culicifacies	139723
A. culicis	247478
A. cunicularia	194338
A. cuprea	121601
A. curassavica	52823
A. curassavica L.	52823
A. cursor	29096
A. curvatum	57679
A. cyanea	12921
A. cyaneus	1904
A. cyaneus	3816
A. cyanogenus	80860
A. cycloclastes	223
A. cygnea	47528
A. cylindracea	64608
A. cylindrica	1165
A. cylindrica	130456
A. cylindrica Host	130456
A. dacnicolor	75988
A. dactylomela	144766
A. dahurica	48101
A. dahurica	64029
A. danava	470265
A. darlingi	43151
A. davidiana	151430
A. davidianus	141262
A. deanei	59799
A. debilis	30329
A. decursiva	52491
A. defectiva	46125
A. defragrans	75697
A. dehalogenans	161493
A. delafieldii	47920
A. deliciosa	3627
A. denitrificans	32002
A. dentocariosus	2047
A. depilans	76186
A. dermatitidis	5039
A. dermatonomus	1863
A. diadematus	45920
A. diaperinus	27448
A. diastaticus	1956
A. diastatochromogenes	42236
A. diazotrophicus	33996
A. dichotoma	273928
A. digitale	56245
A. digitalis	56245
A. digitata	69109
A. dimerus	420348
A. dirus	7168
A. dirus sensu stricto	7168
A. discors	75842
A. disease virus	10345
A. disease virus	28314
A. dispar	37268
A. dispar	57480
A. dissolvens	69219
A. disticha	7604
A. distichum	7604
A. diversum	545
A. DNA hybridization Group 2	105751
A. doliolum	418415
A. domesticus	6997
A. domesticus	8839
A. donax	35708
A. dorsalis	663928
A. dorsata	7462
A. dourgesi	644
A. dourgesi anaerogene	648
A. dracunculus	72341
A. drepanolobium	205067
A. drepanolobium Harms ex Y.Sjostedt	205067
A. drummondii	72658
A. drummondii A.Gray	72658
A. dubitatum	321419
A. duodenale	51022
A. dussumieri	167804
A. elata	82095
A. elatius	52139
A. elegans	137732
A. elegans	64647
A. elegans	90269
A. elegantissima	6110
A. elephantina	167804
A. elongatum	4588
A. encephalomyelitis virus	70796
A. encheleia	73010
A. enteropelogenes	29489
A. epidermidis	1282
A. eppinger	1824
A. eppingeri	1824
A. equina	6106
A. equuli	718
A. eriksonii	1689
A. ervi	37627
A. erythreus	1836
A. esculentus	455045
A. espejiana	28107
A. esteraromaticum	57043
A. euchroma	373122
A. eucrenophila	649
A. euteiches	100861
A. eutrophus	106590
A. evansii	59406
A. excentricus	78587
A. exfoliatus	1905
A. fabae	191316
A. fabri	97166
A. facilis	12917
A. faecalis	511
A. faecalis subsp. faecalis	32001
A. falcifera	56368
A. fangchi	425107
A. farauti	69004
A. farcinicus	37329
A. farnesiana	72368
A. farris	264913
A. fasciata	144767
A. fasciatus	223369
A. fatua	4499
A. fatua L.	4499
A. felis	1035
A. ferina	219593
A. fermentans	2115
A. fermentans	905
A. ferox	117798
A. ferrooxidans	920
A. ficuum	5058
A. filiculoides	84609
A. filiculoides Lam.	84609
A. filiformis	82378
A. fischeri	36630
A. fischeri	668
A. fischerianus	36630
A. fistulosum	35875
A. fistulosum L.	35875
A. flammea	37605
A. flavescens	69366
A. flavicollis	54292
A. flavigenum	1711
A. flavipes	41900
A. flavithermus	33934
A. flavovirens	52258
A. flavus	5059
A. florea	7463
A. florida	32219
A. florida Lindl.	32219
A. floridae	7739
A. flos-aquae	1166
A. flos-aquae	1176
A. flosaquae	1176
A. fluorescens	1892
A. fluviatilis	111615
A. fluviatilis	658031
A. fluviatilis	6715
A. foetidus	63131
A. foliaceus	509924
A. forbesi	7603
A. fordii	73154
A. formicans	648
A. formosanus	173437
A. formosanus Hayata	173437
A. forsteri	29084
A. forsteri	9233
A. fradii	1906
A. fragilis	102178
A. franciscana	6661
A. fraterculus	95504
A. freeborni	7170
A. frigida	395280
A. frigida Willd.	395280
A. fruticosa	48131
A. fulgens	9649
A. fulgidus	2234
A. fulica	6530
A. fuligula	219594
A. fulvescens	41871
A. fumigatus	746128
A. fundyense	2932
A. funestus	62324
A. fusca	182256
A. fusiformis	28031
A. galanga	94327
A. galli	46685
A. gallica	47427
A. gallinae	34641
A. gallinarum	29557
A. gallinarum	755
A. gambiae	7165
A. gangeticus	29722
A. gangeticus L.	29722
A. gazella	37190
A. gemmatalis	129554
A. gemmatalis MNPV	268591
A. gemmatalis multicapsid nucleopolyhedrovirus	268591
A. gemmatalis multiple nucleopolyhedrovirus	268591
A. genomosp. 1	471
A. genomosp. 12	40216
A. genomosp. 2	470
