Celiac Artery	UA-ORG-180
Cementum	UA-ORG-181
Central nervous system	UA-ORG-182
Cephalic Vein	UA-ORG-183
Cerebellum	UA-ORG-184
Cerebral Cortex	UA-ORG-185
Cerebral Hemispheres	UA-ORG-186
Cerebral Spinal Fluid	UA-ORG-187
Cerebrospinal fluid	UA-ORG-188
Cerebrum	UA-ORG-189
Cervical Lymph Nodes	UA-ORG-190
Cervical vertebrae	UA-ORG-191
Cervix	UA-ORG-192
Chambers of the Heart	UA-ORG-193
Cheek	UA-ORG-194
Cheekbone	UA-ORG-195
Chemical Digestion	UA-ORG-196
Chest	UA-ORG-197
Cholecystokinin	UA-ORG-198
Chordae Tendineae	UA-ORG-199
Choroid Layer	UA-ORG-200
Choroid Plexus	UA-ORG-201
Chromosome	UA-ORG-202
Chyme	UA-ORG-203
Ciliary Body	UA-ORG-204
Circulatory system	UA-ORG-205
Circumduction	UA-ORG-206
Circumvallate Papillae	UA-ORG-207
Cisterna Chyli	UA-ORG-208
Clavicle	UA-ORG-209
Clitoris	UA-ORG-210
Coccyx	UA-ORG-211
Cochlea	UA-ORG-212
Colon	UA-ORG-213
Columnar Epithelium	UA-ORG-214
Common Bile Duct	UA-ORG-215
Common Hepatic Duct	UA-ORG-216
Common Iliac Arteries	UA-ORG-217
Common Iliac Lymph Nodes	UA-ORG-218
Common Iliac Vein	UA-ORG-219
Common Iliac Veins	UA-ORG-220
Condyles of the Femur	UA-ORG-221
Condyles of the Tibia	UA-ORG-222
Condyloid Joint	UA-ORG-223
Cones	UA-ORG-224
Conjunctival membrane	UA-ORG-225
Connective tissue	UA-ORG-226
Connective Tissue Matrix	UA-ORG-227
Coracoacromial Ligament	UA-ORG-228
Coracobrachialis	UA-ORG-229
Coracoclavicular Ligament	UA-ORG-230
Coracohumeral Ligament	UA-ORG-231
Coracoid Process	UA-ORG-232
Cornea	UA-ORG-233
Coronary Arteries	UA-ORG-234
Coronary Capillaries	UA-ORG-235
Coronary Circulatory System	UA-ORG-236
Coronary Sinus	UA-ORG-237
Coronary Veins	UA-ORG-238
Coronoid Fossa	UA-ORG-239
Coronoid Process of the Ulna	UA-ORG-240
Corpus Callosum	UA-ORG-241
Corrugator Supercilii	UA-ORG-242
Corticotropin-Releasing Hormone	UA-ORG-243
Cortisol	UA-ORG-244
Costoclavicular Ligament	UA-ORG-245
Coxal Bones	UA-ORG-246
Cranial Cavity	UA-ORG-247
Cranial Nerves	UA-ORG-248
Cranial Sutures	UA-ORG-249
Cranial Venous Sinuses	UA-ORG-250
Crista	UA-ORG-251
Crown	UA-ORG-252
Cuboid	UA-ORG-253
Cuboidal Epithelium	UA-ORG-254
Cuneiform Bones	UA-ORG-255
Cystic Duct	UA-ORG-256
Cytosine	UA-ORG-257
Deciduous Teeth	UA-ORG-258
Deep Femoral Artery	UA-ORG-259
Deltoid	UA-ORG-260
Deltoid Tendons	UA-ORG-261
Deltoid Tuberosity	UA-ORG-262
Dentition	UA-ORG-263
Depressor Anguli Oris	UA-ORG-264
Depressor Labii Inferioris	UA-ORG-265
Dermis	UA-ORG-266
Descending Aorta	UA-ORG-267
Descending Colon	UA-ORG-268
Diaphedesis	UA-ORG-269
Diaphragm	UA-ORG-270
Digastric Muscle	UA-ORG-271
Digestion	UA-ORG-272
Digestive tract	UA-ORG-273
Direct Bilirubin	UA-ORG-274
Dorsal Carpometacarpal Ligaments	UA-ORG-275
Dorsal Cavity	UA-ORG-276
Dorsal Radiocarpal Ligament	UA-ORG-277
Dorsal Root Ganglion	UA-ORG-278
Dorsal Root of Spinal Nerves	UA-ORG-279
Dorsalis Pedis	UA-ORG-280
Dorsalis Pedis Pulse	UA-ORG-281
Dorsiflexion	UA-ORG-282
Duct of Bartholin	UA-ORG-283
Duodenum	UA-ORG-284
Dura Mater	UA-ORG-285
Ear	UA-ORG-286
Ear canal	UA-ORG-287
Eardrum	UA-ORG-288
Earlobe	UA-ORG-289
Efferent Lymph Vessel	UA-ORG-290
Elastic Cartilage	UA-ORG-291
Elbow	UA-ORG-292
Elbow Ligaments	UA-ORG-293
Embryo	UA-ORG-294
Eminence	UA-ORG-295
Endocardium	UA-ORG-296
Endocrine Glands	UA-ORG-297
Endocrine system	UA-ORG-298
Endolympth	UA-ORG-299
Endometrium	UA-ORG-300
Enzymes	UA-ORG-301
Eosinophils	UA-ORG-302
Epicardium	UA-ORG-303
Epidermis	UA-ORG-304
Epididymis	UA-ORG-305
Epiglottis	UA-ORG-306
Epinephrine	UA-ORG-307
Epiphyses	UA-ORG-308
Epithelium	UA-ORG-309
Erythrocyte	UA-ORG-310
Esophageal Artery	UA-ORG-311
Esophagus	UA-ORG-312
Ethmoid Air Cells	UA-ORG-313
Ethmoid Bone	UA-ORG-314
Ethmoid Labyrinth	UA-ORG-315
Ethmoid Sinuses	UA-ORG-316
Eustachian tube	UA-ORG-317
Eversion	UA-ORG-318
Exocrine Glands	UA-ORG-319
Exocrine system	UA-ORG-320
Extension	UA-ORG-321
Extensor Carpi Radialis Longus	UA-ORG-322
Extensor Carpi Radialis Longus Tendons	UA-ORG-323
Extensor Carpi Ulnaris	UA-ORG-324
Extensor Carpi Ulnaris Tendons	UA-ORG-325
Extensor Digitorum	UA-ORG-326
Extensor Digitorum Brevis	UA-ORG-327
Extensor Digitorum Brevis Tendons	UA-ORG-328
Extensor Digitorum Longus	UA-ORG-329
Extensor Digitorum Longus Tendons	UA-ORG-330
Extensor Digitorum Tendons	UA-ORG-331
Extensor Hallicus Longus	UA-ORG-332
Extensor Hallucis Brevis	UA-ORG-333
Extensor Hallucis Brevis Tendons	UA-ORG-334
Extensor Hallucis Longus Tendons	UA-ORG-335
Extensor Pollicis Brevis	UA-ORG-336
Extensor Pollicis Brevis Tendons	UA-ORG-337
Extensor Pollicis Longus	UA-ORG-338
Extensor Pollicis Longus Tendons	UA-ORG-339
External Auditory Meatus	UA-ORG-340
External Iliac Artery	UA-ORG-341
External Iliac Lymph Nodes	UA-ORG-342
External Iliac Vein	UA-ORG-343
External Intercostal Muscles	UA-ORG-344
External Jugular Vein	UA-ORG-345
External Meatus	UA-ORG-346
External Obliques	UA-ORG-347
External Respiration	UA-ORG-348
External Rotation	UA-ORG-349
