cellosaurus:CVCL_0004
cellosaurus:CVCL_0006
cellosaurus:CVCL_0008
cellosaurus:CVCL_0013
cellosaurus:CVCL_0030
cellosaurus:CVCL_0065
cellosaurus:CVCL_0379
cellosaurus:CVCL_0511
cellosaurus:CVCL_0559
cellosaurus:CVCL_0597
cellosaurus:CVCL_1Q82
cellosaurus:CVCL_2758
cellosaurus:CVCL_4069
cellosaurus:CVCL_D880
cellosaurus:CVCL_M383
cellosaurus:CVCL_R861
go:GO:0005634
go:GO:0005694
go:GO:0005886
manual:COS7
manual:PBL
taxonomy:10090
taxonomy:10633
taxonomy:4932
taxonomy:9606
taxonomy:9986
tissuelist:TS-0068
tissuelist:TS-0095
tissuelist:TS-0158
tissuelist:TS-0288
tissuelist:TS-0445
tissuelist:TS-0510
tissuelist:TS-0549
tissuelist:TS-0564
tissuelist:TS-0568
tissuelist:TS-0647
tissuelist:TS-0730
tissuelist:TS-0736
tissuelist:TS-0799
tissuelist:TS-0828
tissuelist:TS-0933
tissuelist:TS-0942
tissuelist:TS-0956
tissuelist:TS-1001
tissuelist:TS-1030
tissuelist:TS-1043
tissuelist:TS-1210
uaz:CL:0000084
uaz:CL:0000504
uaz:CL:0000988
uaz:CL:1000497
uaz:UA-CLine-100047
uberon:UBERON:0000479
uberon:UBERON:2005088
