cellosaurus:CVCL_0G09
cellosaurus:CVCL_C716
cellosaurus:CVCL_F568
cellosaurus:CVCL_M383
go:GO:0001725
go:GO:0001726
go:GO:0005634
go:GO:0005737
go:GO:0005856
go:GO:0005886
go:GO:0005925
go:GO:0016020
go:GO:0030426
go:GO:0043226
go:GO:0044297
go:GO:0044393
go:GO:0071944
manual:E.-coli
manual:N1E-115-cells
manual:Swiss-3T3-cells
manual:neuronal
taxonomy:12721
taxonomy:4932
taxonomy:9606
tissuelist:TS-0095
tissuelist:TS-0150
tissuelist:TS-0510
tissuelist:TS-0564
tissuelist:TS-0681
tissuelist:TS-0799
tissuelist:TS-0923
tissuelist:TS-1006
uaz:CL:0000255
uberon:UBERON:0000104
uberon:UBERON:0000105
uberon:UBERON:0000479
uberon:UBERON:0006099
uberon:UBERON:2000106
uberon:UBERON:2005088
