atcc:CRL-2522
cellosaurus:CVCL_0030
cellosaurus:CVCL_0347
cellosaurus:CVCL_0440
cellosaurus:CVCL_0531
cellosaurus:CVCL_0579
cellosaurus:CVCL_1234
cellosaurus:CVCL_7955
cellosaurus:CVCL_9771
cellosaurus:CVCL_F568
cellosaurus:CVCL_W288
go:GO:0000805
go:GO:0005634
go:GO:0005694
go:GO:0005737
go:GO:0016020
manual:rad53-cells
taxonomy:10090
taxonomy:31931
taxonomy:4932
taxonomy:9606
taxonomy:9940
taxonomy:9986
tissuelist:TS-0136
tissuelist:TS-0362
tissuelist:TS-0545
tissuelist:TS-0585
tissuelist:TS-0636
tissuelist:TS-0665
tissuelist:TS-0681
tissuelist:TS-0923
uaz:CL:0000504
uaz:CL:0000542
uaz:CL:0002322
uniprot:SL-0039
uniprot:SL-0047
uniprot:SL-0276
uniprot:SL-0487
