cellosaurus:CVCL_0025
cellosaurus:CVCL_6C15
go:GO:0005856
go:GO:0005911
go:GO:0005912
go:GO:0016020
go:GO:0030054
manual:HCE-cells
manual:MDCK-cells
manual:corneal-epithelial
taxonomy:9606
tissuelist:TS-0288
uaz:CL:0000066
uberon:UBERON:0000479
uniprot:SL-0265
