go:GO:0005615
go:GO:0005783
go:GO:0009986
go:GO:0016020
manual:asthma
taxonomy:10090
taxonomy:6239
taxonomy:9606
tissuelist:TS-0073
tissuelist:TS-0603
tissuelist:TS-0923
tissuelist:TS-1001
uaz:CL:0000097
uaz:CL:0000235
uaz:CL:0000236
uaz:CL:0000451
uaz:CL:0000453
uaz:CL:0000546
uaz:CL:0000738
uaz:CL:0000763
uaz:CL:0000767
uaz:CL:0000771
uberon:UBERON:0001443
uniprot:SL-0039
