cellosaurus:CVCL_E508
cellosaurus:CVCL_F568
manual:neoplasia
taxonomy:10090
taxonomy:9606
taxonomy:9986
tissuelist:TS-0114
tissuelist:TS-0158
tissuelist:TS-0160
tissuelist:TS-0161
tissuelist:TS-0164
tissuelist:TS-0202
tissuelist:TS-0487
tissuelist:TS-0547
tissuelist:TS-0591
uaz:CL:0000034
uberon:UBERON:0000344
uberon:UBERON:0000479
uberon:UBERON:0008971
uberon:UBERON:0008972
