cellosaurus:CVCL_0063
go:GO:0005634
go:GO:0005789
go:GO:0016020
manual:bacterial
taxonomy:10090
taxonomy:9606
uberon:UBERON:0001130
uberon:UBERON:0002405
uberon:UBERON:0002488
