cellosaurus:CVCL_0023
cellosaurus:CVCL_0031
cellosaurus:CVCL_0062
cellosaurus:CVCL_0237
cellosaurus:CVCL_0395
cellosaurus:CVCL_0459
cellosaurus:CVCL_0480
cellosaurus:CVCL_3495
cellosaurus:CVCL_D946
cellosaurus:CVCL_E718
cellosaurus:CVCL_F568
cellosaurus:CVCL_Y434
go:GO:0005694
go:GO:0005886
go:GO:0016020
manual:H3924A-cell-line
manual:H7795-line
manual:Swiss-3T3-cells
manual:cytoplasmic
manual:eggs
manual:intestinal
manual:kidneys
manual:nuclei
manual:pancreatic
manual:rat
manual:stomach
manual:testicular
manual:uterine
taxonomy:10090
taxonomy:9606
taxonomy:9986
tissuelist:TS-0158
tissuelist:TS-0221
tissuelist:TS-0454
tissuelist:TS-0455
tissuelist:TS-0510
tissuelist:TS-0564
tissuelist:TS-0568
tissuelist:TS-0591
tissuelist:TS-0595
tissuelist:TS-0597
tissuelist:TS-0665
tissuelist:TS-0828
tissuelist:TS-0858
tissuelist:TS-0910
tissuelist:TS-0923
tissuelist:TS-0933
tissuelist:TS-0934
tissuelist:TS-0949
tissuelist:TS-1030
tissuelist:TS-1047
tissuelist:TS-1153
tissuelist:TS-1168
tissuelist:TS-1223
tissuelist:TS-1228
uaz:CL:0000019
uaz:CL:0000504
uaz:CL:0002327
uberon:UBERON:0000104
uberon:UBERON:0000479
uberon:UBERON:0001555
