cellosaurus:CVCL_4W74
go:GO:0005886
go:GO:0016020
go:GO:0044289
manual:E-coli
manual:insect-cells
taxonomy:10090
taxonomy:9031
taxonomy:9606
tissuelist:TS-0219
tissuelist:TS-0591
tissuelist:TS-1006
uaz:CL:2000042
uberon:UBERON:0001461
uberon:UBERON:0002488
uberon:UBERON:2000106
