cellosaurus:CVCL_0347
cellosaurus:CVCL_6G79
cellosaurus:CVCL_F568
cellosaurus:CVCL_V575
cellosaurus:CVCL_W397
go:GO:0005604
go:GO:0005634
go:GO:0016020
manual:HCA2-GSE22
manual:HCA2-cells
manual:primary-A-T-cells
taxonomy:9606
taxonomy:9793
tissuelist:TS-0158
tissuelist:TS-0278
tissuelist:TS-0362
tissuelist:TS-0564
tissuelist:TS-0568
tissuelist:TS-0591
tissuelist:TS-0595
tissuelist:TS-0636
tissuelist:TS-0923
tissuelist:TS-0934
tissuelist:TS-1090
uaz:CL:0000034
uaz:CL:0000066
uaz:CL:0000738
uaz:CL:1001608
uaz:UA-CLine-888
uberon:UBERON:0000479
uberon:UBERON:0002405
uberon:UBERON:0008915
uniprot:SL-0276
