cellosaurus:CVCL_2529
cellosaurus:CVCL_D880
cellosaurus:CVCL_F568
cellosaurus:CVCL_S979
go:GO:0009986
go:GO:0015629
go:GO:0016020
go:GO:0030424
go:GO:0030426
go:GO:0031012
manual:COS-7-cells
manual:NIH-3T3-cells
manual:neurite
taxonomy:10090
taxonomy:9606
taxonomy:9796
taxonomy:9940
taxonomy:9986
tissuelist:TS-0278
tissuelist:TS-0636
tissuelist:TS-0676
tissuelist:TS-0683
tissuelist:TS-0725
tissuelist:TS-0923
tissuelist:TS-1006
tissuelist:TS-1313
uaz:CL:0000097
uaz:CL:0000451
uaz:CL:0000540
uaz:CL:0002608
uaz:UA-ORG-623
uberon:UBERON:0001781
uberon:UBERON:0002049
uberon:UBERON:0008915
