cellosaurus:CVCL_C795
cellosaurus:CVCL_E702
cellosaurus:CVCL_H526
go:GO:0005737
go:GO:0005764
go:GO:0005768
go:GO:0005769
go:GO:0005829
go:GO:0016020
go:GO:0031982
manual:Cos7-cells
manual:RAW264
manual:atherosclerosis
manual:rheumatoid-arthritis
manual:systemic-lupus-erythematosus
taxonomy:10090
taxonomy:9606
tissuelist:TS-0160
tissuelist:TS-0587
tissuelist:TS-0636
tissuelist:TS-0773
tissuelist:TS-0774
tissuelist:TS-0803
tissuelist:TS-0923
uaz:CL:0000235
uaz:CL:0000746
uaz:CL:0000784
uaz:CL:0000861
uaz:CL:0002092
uberon:UBERON:0000468
uberon:UBERON:0006611
