cellosaurus:CVCL_0033
cellosaurus:CVCL_0060
cellosaurus:CVCL_0063
cellosaurus:CVCL_0598
cellosaurus:CVCL_3772
cellosaurus:CVCL_7954
cellosaurus:CVCL_F568
cellosaurus:CVCL_X211
go:GO:0005886
go:GO:0016020
manual:MDCK
manual:patients
taxonomy:10090
taxonomy:9606
taxonomy:9986
tissuelist:TS-0095
tissuelist:TS-0158
tissuelist:TS-0249
tissuelist:TS-0362
tissuelist:TS-0510
tissuelist:TS-0564
tissuelist:TS-0568
tissuelist:TS-0571
tissuelist:TS-0591
tissuelist:TS-0592
tissuelist:TS-0595
tissuelist:TS-0725
tissuelist:TS-0828
tissuelist:TS-0895
tissuelist:TS-0923
tissuelist:TS-0933
tissuelist:TS-1030
tissuelist:TS-1090
tissuelist:TS-1223
tissuelist:TS-1224
uaz:CL:0000066
uaz:CL:0000255
uaz:CL:0000504
uaz:CL:0002327
uaz:CL:0002328
uberon:UBERON:0000180
uberon:UBERON:0000468
uberon:UBERON:0000479
uberon:UBERON:0002103
uberon:UBERON:0002385
uniprot:SL-0039
